RowID ,UK                       ,AUS                          ,US                    ,FromDateTime                ,ToDateTime
1,Arthur Balfour           ,Edmund Barton                ,Theodore Roosevelt    ,12/07/1902,24/09/1903
1,Arthur Balfour           ,Alfred Deakin                ,Theodore Roosevelt    ,24/09/1903,27/04/1904
1,Arthur Balfour           ,John Christian Watson        ,Theodore Roosevelt    ,27/04/1904,18/08/1904
1,Arthur Balfour           ,George Houston Reid          ,Theodore Roosevelt    ,18/08/1904,5/07/1905
1,Arthur Balfour           ,Alfred Deakin                ,Theodore Roosevelt    ,5/07/1905,5/12/1905
1,Henry Campbell-Bannerman ,Alfred Deakin                ,Theodore Roosevelt    ,5/12/1905,5/04/1908
1,H. H. Asquith            ,Alfred Deakin                ,Theodore Roosevelt    ,5/04/1908,13/11/1908
1,H. H. Asquith            ,Andrew Fisher                ,Theodore Roosevelt    ,13/11/1908,4/03/1909
1,H. H. Asquith            ,Andrew Fisher                ,William Howard Taft   ,4/03/1909,2/06/1909
1,H. H. Asquith            ,Alfred Deakin                ,William Howard Taft   ,2/06/1909,29/04/1910
1,H. H. Asquith            ,Andrew Fisher                ,William Howard Taft   ,29/04/1910,4/03/1913
1,H. H. Asquith            ,Andrew Fisher                ,Woodrow Wilson        ,4/03/1913,24/06/1913
1,H. H. Asquith            ,Joseph Cook                  ,Woodrow Wilson        ,24/06/1913,17/09/1914
1,H. H. Asquith            ,Andrew Fisher                ,Woodrow Wilson        ,17/09/1914,27/10/1915
1,H. H. Asquith            ,William Morris Hughes        ,Woodrow Wilson        ,27/10/1915,6/12/1916
1,David Lloyd George       ,William Morris Hughes        ,Woodrow Wilson        ,6/12/1916,4/03/1921
1,David Lloyd George       ,William Morris Hughes        ,Warren G. Harding     ,4/03/1921,23/10/1922
1,Bonar Law                ,William Morris Hughes        ,Warren G. Harding     ,23/10/1922,9/02/1923
1,Bonar Law                ,Stanley Melbourne Bruce      ,Warren G. Harding     ,9/02/1923,22/05/1923
1,Stanley Baldwin          ,Stanley Melbourne Bruce      ,Warren G. Harding     ,22/05/1923,2/08/1923
1,Stanley Baldwin          ,Stanley Melbourne Bruce      ,Calvin Coolidge       ,2/08/1923,22/01/1924
1,Ramsay MacDonald         ,Stanley Melbourne Bruce      ,Calvin Coolidge       ,22/01/1924,4/11/1924
1,Stanley Baldwin          ,Stanley Melbourne Bruce      ,Calvin Coolidge       ,4/11/1924,4/03/1929
1,Stanley Baldwin          ,Stanley Melbourne Bruce      ,Herbert Hoover        ,4/03/1929,5/06/1929
1,Ramsay MacDonald         ,Stanley Melbourne Bruce      ,Herbert Hoover        ,5/06/1929,22/10/1929
1,Ramsay MacDonald         ,James Henry Scullin          ,Herbert Hoover        ,22/10/1929,6/01/1932
1,Ramsay MacDonald         ,Joseph Aloysius Lyons        ,Herbert Hoover        ,6/01/1932,4/03/1933
1,Ramsay MacDonald         ,Joseph Aloysius Lyons        ,Franklin D. Roosevelt ,4/03/1933,7/06/1935
1,Stanley Baldwin          ,Joseph Aloysius Lyons        ,Franklin D. Roosevelt ,7/06/1935,28/05/1937
1,Neville Chamberlain      ,Joseph Aloysius Lyons        ,Franklin D. Roosevelt ,28/05/1937,7/04/1939
1,Neville Chamberlain      ,Earle Christmas Grafton Page ,Franklin D. Roosevelt ,7/04/1939,26/04/1939
1,Neville Chamberlain      ,Robert Gordon Menzies        ,Franklin D. Roosevelt ,26/04/1939,10/05/1940
1,Winston Churchill        ,Robert Gordon Menzies        ,Franklin D. Roosevelt ,10/05/1940,29/08/1941
1,Winston Churchill        ,Arthur William Fadden        ,Franklin D. Roosevelt ,29/08/1941,7/10/1941
1,Winston Churchill        ,John Curtin                  ,Franklin D. Roosevelt ,7/10/1941,12/04/1945
1,Winston Churchill        ,John Curtin                  ,Harry S. Truman       ,12/04/1945,6/07/1945
1,Winston Churchill        ,Francis Michael Forde        ,Harry S. Truman       ,6/07/1945,13/07/1945
1,Winston Churchill        ,Joseph Benedict Chifley      ,Harry S. Truman       ,13/07/1945,26/07/1945
1,Clement Attlee           ,Joseph Benedict Chifley      ,Harry S. Truman       ,26/07/1945,19/12/1949
1,Clement Attlee           ,Robert Gordon Menzies        ,Harry S. Truman       ,19/12/1949,26/10/1951
1,Winston Churchill        ,Robert Gordon Menzies        ,Harry S. Truman       ,26/10/1951,20/01/1953
1,Winston Churchill        ,Robert Gordon Menzies        ,Dwight Eisenhower     ,20/01/1953,6/04/1955
1,Anthony Eden             ,Robert Gordon Menzies        ,Dwight Eisenhower     ,6/04/1955,10/01/1957
1,Harold Macmillan         ,Robert Gordon Menzies        ,Dwight Eisenhower     ,10/01/1957,20/01/1961
1,Harold Macmillan         ,Robert Gordon Menzies        ,John F. Kennedy       ,20/01/1961,19/10/1963
1,Alec Douglas-Home        ,Robert Gordon Menzies        ,John F. Kennedy       ,19/10/1963,22/11/1963
1,Alec Douglas-Home        ,Robert Gordon Menzies        ,Lyndon B. Johnson     ,22/11/1963,16/10/1964
1,Harold Wilson            ,Robert Gordon Menzies        ,Lyndon B. Johnson     ,16/10/1964,26/01/1966
1,Harold Wilson            ,Harold Edward Holt           ,Lyndon B. Johnson     ,26/01/1966,19/12/1967
1,Harold Wilson            ,John McEwen                  ,Lyndon B. Johnson     ,19/12/1967,10/01/1968
1,Harold Wilson            ,John Grey Gorton             ,Lyndon B. Johnson     ,10/01/1968,20/01/1969
1,Harold Wilson            ,John Grey Gorton             ,Richard Nixon         ,20/01/1969,19/06/1970
1,Edward Heath             ,John Grey Gorton             ,Richard Nixon         ,19/06/1970,10/03/1971
1,Edward Heath             ,William McMahon              ,Richard Nixon         ,10/03/1971,5/12/1972
1,Edward Heath             ,Edward Gough Whitlam         ,Richard Nixon         ,5/12/1972,4/03/1974
1,Harold Wilson            ,Edward Gough Whitlam         ,Richard Nixon         ,4/03/1974,9/08/1974
1,Harold Wilson            ,Edward Gough Whitlam         ,Gerald Ford           ,9/08/1974,11/11/1975
1,Harold Wilson            ,John Malcolm Fraser          ,Gerald Ford           ,11/11/1975,5/04/1976
1,James Callaghan          ,John Malcolm Fraser          ,Gerald Ford           ,5/04/1976,20/01/1977
1,James Callaghan          ,John Malcolm Fraser          ,Jimmy Carter          ,20/01/1977,4/05/1979
1,Margaret Thatcher        ,John Malcolm Fraser          ,Jimmy Carter          ,4/05/1979,20/01/1981
1,Margaret Thatcher        ,John Malcolm Fraser          ,Ronald Reagan         ,20/01/1981,11/03/1983
1,Margaret Thatcher        ,Robert James Lee Hawke       ,Ronald Reagan         ,11/03/1983,20/01/1989
1,Margaret Thatcher        ,Robert James Lee Hawke       ,George Bush           ,20/01/1989,28/11/1990
1,John Major               ,Robert James Lee Hawke       ,George Bush           ,28/11/1990,20/12/1991
1,John Major               ,Paul John Keating            ,George Bush           ,20/12/1991,20/01/1993
1,John Major               ,Paul John Keating            ,Bill Clinton          ,20/01/1993,11/03/1996
1,John Major               ,John Winston Howard          ,Bill Clinton          ,11/03/1996,2/05/1997
1,Tony Blair               ,John Winston Howard          ,Bill Clinton          ,2/05/1997,20/01/2001
1,Tony Blair               ,John Winston Howard          ,George W. Bush        ,20/01/2001,27/06/2007
1,Gordon Brown             ,John Winston Howard          ,George W. Bush        ,27/06/2007,3/12/2007
1,Gordon Brown             ,Kevin Michael Rudd           ,George W. Bush        ,3/12/2007,20/01/2009
1,Gordon Brown             ,Kevin Michael Rudd           ,Barack Obama          ,20/01/2009,11/05/2010
1,David Cameron            ,Kevin Michael Rudd           ,Barack Obama          ,11/05/2010,24/06/2010
1,David Cameron            ,Julia Eileen Gillard         ,Barack Obama          ,24/06/2010,27/06/2013
1,David Cameron            ,Kevin Michael Rudd           ,Barack Obama          ,27/06/2013,18/09/2013
1,David Cameron            ,Anthony John Abbott          ,Barack Obama          ,18/09/2013,15/09/2015
1,David Cameron            ,Malcolm Bligh Turnbull       ,Barack Obama          ,15/09/2015,13/07/2016
1,Theresa May              ,Malcolm Bligh Turnbull       ,Barack Obama          ,13/07/2016,20/01/2017
1,Theresa May              ,Malcolm Bligh Turnbull       ,Donald Trump          ,20/01/2017,24/08/2018
1,Theresa May              ,Scott John Morrison          ,Donald Trump          ,24/08/2018,24/07/2019
1,Boris Johnson            ,Scott John Morrison          ,Donald Trump          ,24/07/2019,20/01/2021
1,Boris Johnson            ,Scott John Morrison          ,Joe Biden,20/01/2021,23/05/2022
1,Boris Johnson            ,Anthony Albanese,Joe Biden,23/05/2022,6/09/2022
1,Liz Truss,Anthony Albanese,Joe Biden,6/09/2022,25/10/2022
1,Rishi Sunak,Anthony Albanese,Joe Biden,25/10/2022,5/07/2024
1,Keir Starmer,Anthony Albanese,Joe Biden,5/07/2024,31/12/9999
